"Timestamp","Would you recommend mybinder.org to a friend?","If you could change one thing about Binder, what would it be?","What do you (mainly) use mybinder.org for?"
"2020/02/29 12:26:18 am CET","Yes","","Documentation and examples"
"2020/02/29 7:30:57 am CET","Yes","faster startup of previous sessions","Sharing and collaborating with a team"
"2020/02/29 7:57:40 am CET","Yes","","University teaching"
"2020/02/29 10:42:26 am CET","Yes","","Workshops/training courses"
"2020/02/29 1:44:41 pm CET","Yes","Nothing","Workshops/training courses"
"2020/02/29 3:36:30 pm CET","Yes","","Reproducible publishing"
"2020/03/01 4:08:29 am CET","Maybe","Be able to save my work","Demos and talks"
"2020/03/01 10:18:36 am CET","Yes","option for paid, secure (CRF 11, HIPPA, GDPR), performant service","Workshops/training courses"
"2020/03/01 10:05:28 pm CET","Yes","SPEED","Documentation and examples"
"2020/03/01 10:11:42 pm CET","Yes","","Documentation and examples"
"2020/03/02 12:05:19 am CET","Yes","","Jupyter notebooks"
"2020/03/02 7:07:27 am CET","No","The back end to my session keeps getting killed. Even if I just leave the page unused for 10-15mins","CHISEL Bootcamp"
"2020/03/02 11:29:48 am CET","Yes","","Pre-university teaching"
"2020/03/02 12:40:30 pm CET","Yes","It should have a longer idle time. It disconnects when idle for about 3 mins","University teaching"
"2020/03/02 1:11:28 pm CET","Maybe","Faster loading.","University teaching"
"2020/03/02 2:50:45 pm CET","Yes","",""
"2020/03/02 4:37:09 pm CET","Yes","shorter load times","Workshops/training courses"
"2020/03/02 6:00:35 pm CET","Yes","Improved documentation accessibility for manual configuration of ""Binderized"" repositories","Documentation and examples"
"2020/03/02 6:16:43 pm CET","Yes","","Workshops/training courses"
"2020/03/02 8:31:49 pm CET","Yes","","Documentation and examples"
"2020/03/02 8:48:20 pm CET","Yes","Make it more widely used in my field.","Reproducible publishing"
"2020/03/02 10:38:08 pm CET","Yes","","Sharing and collaborating with a team"
"2020/03/03 2:03:38 am CET","Yes","perhaps a longer grace period before it goes stale","Demos and talks"
"2020/03/03 2:40:02 am CET","Maybe","speed","Demos and talks"
"2020/03/03 4:10:38 am CET","Yes","Make it collaborative","University teaching"
"2020/03/03 7:24:32 am CET","Maybe","Faster acces to jupyter notebok, it sometimes takes long time to open","Documentation and examples"
"2020/03/03 11:38:23 am CET","","",""
"2020/03/03 12:35:58 pm CET","Yes","Faster startup","Demos and talks"
"2020/03/03 2:18:50 pm CET","","",""
"2020/03/03 2:48:18 pm CET","Yes","Allow more simultaneous users!","Workshops/training courses"
"2020/03/03 4:47:32 pm CET","Yes","that you could save your projects and your books.","Sharing and collaborating with a team"
"2020/03/03 5:25:41 pm CET","No","fuck you","to waste time at fucking school"
"2020/03/03 5:29:56 pm CET","Yes","","Workshops/training courses"
"2020/03/03 6:30:39 pm CET","Yes","The beauty of this service is in its simplicity, so I would remove the directory structure from the ""Starting repository"" page. It seems a bit redundant, assuming most people will follow a link from a repository page. This is based on a limited usage though, so might be completely wrong.","Reproducible publishing"
"2020/03/03 7:10:13 pm CET","Yes","","Documentation and examples"
"2020/03/03 8:47:51 pm CET","Yes","Faster loading.","Science Projects"
"2020/03/04 12:28:53 am CET","Yes","","Documentation and examples"
"2020/03/04 6:38:59 am CET","Yes","Python environment setting is a bit cumbersome","Documentation and examples"
"2020/03/04 11:49:39 am CET","Yes","On error, delete the loader. if the container does not lunch correctly, the loader is frozen. You could fine something more attractive in this situation. Best regards","Documentation and examples"
"2020/03/04 5:31:54 pm CET","Yes","Quicker to start up notebooks.","Teaching my kid datascience"
"2020/03/04 7:11:17 pm CET","Maybe","Add the Folium library functionality as of right now the maps do not render properly.","University teaching"
"2020/03/04 9:33:21 pm CET","Yes","build from non repo sources","University research"
"2020/03/05 8:23:54 am CET","Yes","","Workshops/training courses"
"2020/03/05 9:13:47 am CET","Yes","Fast loading?","Pre-university teaching"
"2020/03/05 9:42:19 am CET","Yes","Nothing.","Documentation and examples"
"2020/03/05 9:47:33 am CET","Yes","More computing power (especially increased memory). But I understand the costs of this, of course ;P.","Reproducible publishing"
"2020/03/05 1:02:18 pm CET","Yes","","Demos and talks"
"2020/03/05 1:35:04 pm CET","Yes","","Demos and talks"
"2020/03/05 3:46:54 pm CET","Yes","","Documentation and examples"
"2020/03/05 4:01:28 pm CET","Yes","could be faster","University teaching"
"2020/03/05 4:24:32 pm CET","Yes","Faster execution","Documentation and examples"
"2020/03/05 5:27:49 pm CET","Yes","Faster image building, larger capacity for conda environments","Workshops/training courses"
"2020/03/05 6:11:05 pm CET","Maybe","","Documentation and examples"
"2020/03/07 7:13:08 pm CET","Yes","","Sharing and collaborating with a team"
